Business Terms,Column_header,Table,File,
Age Group,Age,Retail Customer Retention,CUST_SURVEYS,
Attrition Status,IS_CHURNER,Retail Customer Retention,CUST_SURVEY_CHURN,
Cleanliness Rating,Q_cleanliness,Retail Customer Retention,CUST_SURVEYS,
Customer Annual Income,Income,Retail Customer Retention,CUST_SURVEYS,
Customer Expense,Money_spent,Retail Customer Retention,CUST_SURVEYS,
Customer Identifier,ID,Retail Customer Retention,CUST_SURVEYS,
Customer Identifier,ID,Retail Customer Retention,CUST_SURVEY_CHURN,
Customer Visit Type,Visit_type,Retail Customer Retention,CUST_SURVEYS,
Distance to Nearest Store,Nearest store,Retail Customer Retention,CUST_SURVEYS,
Gender,Gender,Retail Customer Retention,CUST_SURVEYS,
Membership Indicator,Member,Retail Customer Retention,CUST_SURVEYS,
Occupation,Occupation,Retail Customer Retention,CUST_SURVEYS,
Price Rating,Q_price,Retail Customer Retention,CUST_SURVEYS,
Products Purchased,Items_bought,Retail Customer Retention,CUST_SURVEYS,
Promotion Rating,Q_promotions,Retail Customer Retention,CUST_SURVEYS,
Store Ambience Rating,Q_store_ambiance,Retail Customer Retention,CUST_SURVEYS,
Store Product Options Rating,Q_store_products_options,Retail Customer Retention,CUST_SURVEYS,
Store Quality Rating,Q_store_quality,Retail Customer Retention,CUST_SURVEYS,
Store Service Rating,Q_store_service,Retail Customer Retention,CUST_SURVEYS,
Time Spent,Time_spent,Retail Customer Retention,CUST_SURVEYS,
Visit Frequency,Store_visit_frequency,Retail Customer Retention,CUST_SURVEYS,